x_value,y_value
160,203
165,181
161,187
156,159
165,175
163,166
157,143
109,142
156,129
155,121
152,88
160,206
160,208
159,209
159,210
159,213
160,216
159,220
158,225
164,185
156,184
76,119
128,146
122,147
116,148
107,145
133,144
119,133
125,132
112,134
108,136
101,150
135,237
106,141
76,147
92,146
126,175
153,202
153,208
143,204
137,206
146,209
140,209
128,216
159,182
158,175
98,132
137,158
140,180
139,176
106,176
157,167
116,125
106,128
85,108
143,128
131,133
123,210
81,207
144,183
150,185
129,210
132,209
101,124
139,182
128,125
127,120
115,92
94,115
122,106
93,129
85,124
153,206
145,207
139,208
146,184
130,210
134,211
132,209
150,182
141,208
146,209
153,209
150,226
151,220
152,216
152,213
152,211
140,210
140,211
138,213
137,215
132,199
71,175
162,186
136,210
135,210
152,188
140,186
151,186
131,162
121,167
137,178
98,98
106,109
113,120
134,220
141,121
137,104
133,89
110,147
94,155
136,142
101,139
142,153
145,178
86,160
100,159
109,161
121,159
130,156
136,152
151,145
88,173
94,138
160,185
139,164
69,146
141,149
136,178
104,142
144,173
75,191
135,140
151,169
103,224
101,231
77,175
93,215
80,135
133,245
160,186
133,170
85,148
117,144
122,143
132,212
89,186
145,252
123,245
113,239
154,104
158,251
127,143
131,141
134,141
88,137
129,136
124,135
119,136
113,137
110,139
71,131
113,143
160,192
138,195
145,182
152,193
156,135
113,232
123,239
146,248
90,221
133,139
148,156
159,247
133,250
80,189
146,210
145,212
145,215
144,218
141,224
135,209
134,209
132,208
126,204
100,190
147,149
141,136
136,137
136,208
98,205
148,136
138,230
161,158
153,152
159,150
144,166
159,240
159,232
149,233
122,219
130,184
129,226
116,184
125,191
110,195
147,241
140,170
116,225
125,232
116,211
91,197
107,213
84,202
119,200
143,160
148,181
142,182
152,176
137,132
127,130
118,130
110,132
104,134
99,144
76,161
106,152
113,154
121,153
129,150
135,148
139,146
70,160
142,183
150,162
154,181
156,184
153,182
143,185
158,184
157,185
138,141
142,142
145,144
108,140
105,139
165,158
188,136
167,183
200,110
173,142
178,142
184,142
189,138
169,141
182,128
176,129
187,129
189,130
193,142
177,231
190,134
202,137
198,137
182,170
167,201
165,207
173,201
176,203
169,206
172,206
180,210
169,181
170,174
197,125
171,155
178,176
177,172
195,167
168,166
187,121
194,122
197,101
166,127
170,131
184,204
195,194
174,180
170,183
179,205
176,205
196,117
177,179
178,122
180,117
181,89
197,109
180,102
199,121
200,116
166,205
171,204
174,204
172,181
178,205
176,207
176,205
173,179
170,206
167,207
163,208
165,224
166,219
166,215
165,212
164,209
172,207
173,208
174,209
175,211
180,194
198,162
173,206
175,206
168,186
175,183
169,185
175,158
184,161
177,175
192,93
190,104
189,115
177,215
168,119
168,103
169,87
187,140
198,146
166,140
194,131
167,151
176,175
202,149
196,151
191,154
181,154
174,152
169,149
162,144
203,162
198,130
166,184
172,161
199,135
166,147
176,175
191,134
175,170
198,177
166,138
171,167
193,212
190,218
203,163
197,202
201,125
178,238
165,185
176,166
200,138
183,138
179,139
177,208
202,175
169,248
182,236
186,228
174,139
170,138
167,138
200,128
170,133
175,131
180,131
185,131
188,132
201,121
186,137
177,192
174,179
168,192
188,221
184,229
170,244
193,207
168,136
167,154
177,243
202,176
168,208
170,210
171,212
171,215
172,220
175,205
176,205
178,204
183,199
197,180
165,147
164,135
166,135
173,205
197,194
161,135
174,225
164,151
171,164
167,230
185,211
180,179
180,219
189,177
184,185
193,186
170,238
173,167
188,215
182,223
188,203
200,186
193,202
200,189
187,193
169,158
174,178
176,178
173,174
168,130
176,127
184,126
190,126
193,128
194,136
203,149
191,145
186,147
180,148
173,147
169,145
165,144
198,149
176,180
169,160
172,179
168,182
171,180
174,182
168,183
166,184
165,138
163,141
163,142
189,133
191,132
