x_value,y_value
106,136
103,121
105,125
99,106
103,116
103,110
103,96
75,96
103,88
103,83
102,58
106,138
107,139
107,140
107,140
107,142
107,144
107,146
108,151
104,123
100,123
61,82
87,99
83,100
79,100
74,98
91,98
81,91
85,91
77,92
75,93
71,102
93,160
74,95
60,101
66,100
84,118
101,135
102,140
96,137
92,139
98,140
95,140
88,145
100,121
99,117
68,90
92,107
91,120
91,118
72,119
99,111
77,86
72,87
64,74
95,88
89,92
84,142
67,143
94,122
98,124
89,141
91,141
69,84
91,122
85,86
84,82
79,62
67,79
82,71
66,88
63,85
101,138
97,139
94,140
95,123
90,141
92,142
91,141
96,121
96,140
99,140
103,140
102,151
102,146
102,144
102,142
103,140
96,141
95,141
94,142
94,144
88,134
62,121
104,124
94,141
93,141
99,125
93,125
99,125
88,109
81,113
90,120
70,67
73,74
76,82
92,148
93,83
91,70
89,59
76,100
66,105
93,97
70,94
95,104
93,118
62,109
69,108
74,109
82,108
88,106
92,103
99,98
63,118
67,94
102,123
92,111
60,101
95,101
90,120
73,96
93,116
64,132
93,95
96,113
75,152
76,157
61,120
69,147
62,92
92,165
102,124
89,114
63,101
79,97
83,97
91,142
64,127
101,170
88,166
83,162
102,70
110,171
86,97
90,96
92,96
64,94
89,93
85,92
82,92
78,92
76,94
60,90
77,97
105,129
92,131
94,122
99,129
103,92
81,157
86,161
100,167
71,151
91,94
97,105
109,167
94,168
62,130
99,140
98,141
98,143
98,145
97,150
92,141
91,140
90,140
85,138
69,129
97,100
96,93
93,94
93,140
70,140
99,93
94,155
103,105
99,102
103,101
94,112
108,162
108,156
101,157
84,148
87,124
89,152
78,124
84,129
75,132
100,163
92,114
81,152
87,156
80,143
66,135
75,144
65,139
81,135
95,108
94,120
92,121
96,117
92,91
86,89
80,89
75,90
72,91
70,98
60,110
73,103
77,104
83,104
88,102
92,101
94,99
61,111
93,123
97,109
97,120
100,122
97,121
94,124
100,123
101,124
94,96
96,97
97,97
75,95
73,94
107,106
135,93
108,123
154,76
123,97
128,98
132,97
138,95
119,97
128,89
124,89
132,89
135,90
142,97
126,159
137,92
158,95
147,95
128,116
111,135
112,139
118,136
122,137
116,139
120,139
129,143
107,120
107,116
142,86
118,105
118,118
119,116
142,115
107,111
130,83
137,84
148,68
111,88
120,90
132,139
159,138
116,121
112,123
128,139
126,138
139,81
119,120
121,84
122,81
127,59
143,74
124,69
145,84
150,80
112,137
117,138
121,138
115,122
127,138
125,139
126,138
112,120
120,138
116,139
111,139
114,151
113,146
112,143
112,141
112,140
120,139
121,139
121,140
122,142
126,132
162,115
123,139
124,139
110,125
118,123
111,124
123,107
130,110
120,118
139,62
135,70
131,79
125,146
112,82
114,69
115,58
136,96
147,100
117,96
141,91
114,102
115,117
153,103
144,104
138,105
129,105
123,104
118,102
108,97
153,113
145,90
106,123
117,109
160,95
114,100
121,118
139,93
115,114
161,127
117,94
111,112
147,149
148,154
160,114
153,142
154,87
127,164
106,124
122,112
152,96
131,94
127,95
126,140
154,122
119,170
133,164
140,160
124,95
120,95
118,94
149,89
121,91
124,90
128,89
132,90
134,91
158,84
134,94
121,129
115,121
111,129
140,155
134,159
119,166
154,148
118,93
111,104
126,167
159,124
116,139
117,140
117,142
118,144
120,149
124,139
125,138
126,138
130,135
147,124
111,100
113,92
116,92
123,138
149,136
109,92
123,154
107,102
114,111
116,156
134,145
125,122
129,150
136,121
130,126
141,128
118,162
117,113
138,149
132,154
137,140
154,130
143,140
158,134
134,132
114,107
114,119
117,120
111,116
116,90
122,88
128,87
134,87
138,88
142,94
159,104
139,99
135,101
129,101
123,100
118,99
115,98
161,105
117,121
110,108
110,120
108,122
110,120
116,123
107,122
107,123
115,95
113,96
111,97
136,92
138,91

