x_value,y_value
691,458
689,400
690,420
676,355
688,385
688,366
688,323
585,329
688,293
687,274
685,192
692,466
692,472
692,474
692,473
692,478
692,485
693,494
694,511
689,409
678,410
532,279
627,342
612,344
598,343
580,336
639,337
609,307
624,307
595,309
585,314
569,346
643,544
580,326
529,346
553,339
620,400
674,456
677,472
657,462
645,469
664,473
653,475
629,494
677,401
675,386
560,300
647,361
646,402
645,395
575,404
675,369
596,283
575,289
545,248
660,293
637,310
617,481
551,492
657,410
669,414
632,478
638,477
566,279
646,410
624,284
621,270
602,205
556,262
613,235
551,294
542,287
676,466
661,469
650,473
661,412
635,478
642,479
639,477
663,402
656,474
667,474
679,474
675,512
676,494
676,484
677,477
678,473
654,475
652,476
650,480
648,486
633,453
533,419
689,413
647,476
645,477
674,421
652,419
672,417
632,371
609,383
643,402
567,223
579,244
590,270
642,502
654,272
647,231
640,196
587,341
554,359
647,332
568,319
657,350
654,394
540,371
564,368
583,372
611,368
631,360
646,351
674,328
543,403
556,318
682,409
649,374
526,349
657,342
642,405
576,328
653,386
540,455
647,326
664,376
582,519
585,538
532,412
563,501
535,314
641,560
684,413
637,387
542,343
599,334
611,335
639,482
547,434
668,578
626,564
607,554
686,230
697,579
624,333
636,330
643,328
546,317
634,315
622,312
609,311
597,314
589,319
527,310
590,331
690,432
646,442
656,407
672,435
688,308
602,536
621,548
666,567
567,519
643,321
666,351
696,567
645,572
538,445
665,474
663,477
662,482
661,490
657,508
644,477
640,476
636,474
622,466
566,439
666,338
659,315
650,318
647,475
567,477
670,312
649,527
688,351
675,342
688,338
657,375
695,551
694,530
671,532
616,503
631,418
632,517
596,420
617,436
585,447
667,552
649,385
605,517
624,532
603,486
553,461
586,491
547,476
606,458
658,362
659,400
650,406
664,389
648,305
625,299
604,298
587,300
574,307
566,333
528,379
577,352
592,356
611,355
629,350
644,344
653,338
530,384
651,411
666,363
668,399
676,407
669,402
656,416
678,408
680,412
652,327
661,329
665,330
584,322
577,319
700,354
793,322
701,409
845,265
752,337
767,338
781,336
799,328
739,333
769,301
754,302
783,303
793,307
811,337
749,541
798,318
853,332
827,328
762,395
709,455
707,471
727,460
741,466
721,472
733,473
761,490
700,400
701,385
816,291
732,358
733,399
734,392
808,395
701,368
780,277
801,281
830,236
716,291
740,307
772,476
843,480
723,408
711,413
757,475
751,473
809,270
734,407
751,280
754,266
769,198
819,252
760,229
825,284
835,275
708,465
724,468
737,470
719,411
753,474
746,475
749,473
715,401
731,472
719,472
706,473
712,511
710,493
709,484
708,477
707,473
733,473
734,474
737,477
740,483
752,449
856,405
741,473
743,474
707,420
729,417
709,417
748,367
773,377
737,400
805,213
795,236
784,263
748,498
721,270
725,228
730,192
793,333
826,348
731,329
810,310
721,348
724,392
842,359
817,358
798,363
770,362
749,356
733,349
701,327
841,392
822,308
695,408
730,372
858,335
721,340
739,402
802,320
725,384
853,442
731,324
713,374
812,511
811,530
854,399
830,491
844,301
752,556
694,413
744,383
839,331
780,327
768,329
750,479
840,423
726,576
770,560
789,548
755,329
743,327
735,325
833,305
743,312
755,307
767,306
780,308
788,312
854,296
788,324
737,440
723,405
709,434
792,530
773,543
726,565
829,509
734,319
711,350
749,569
851,433
720,472
722,475
724,481
726,489
732,506
744,474
748,473
752,471
765,461
821,429
711,336
719,313
728,316
741,472
824,468
706,311
741,524
701,341
721,373
719,530
775,498
751,415
759,514
787,413
767,430
801,439
724,550
730,382
787,511
768,527
787,479
837,450
805,483
844,464
781,451
720,361
720,398
729,404
713,388
729,303
752,295
773,293
790,294
803,299
813,324
855,365
803,344
788,348
769,349
750,346
735,341
725,335
857,370
729,409
711,362
710,398
702,406
709,401
725,414
700,407
698,412
726,325
717,327
712,328
794,315
801,312

