x_value,y_value
508,357
505,302
505,318
491,255
504,287
503,268
501,223
411,226
500,198
499,181
496,108
508,364
508,369
508,370
508,371
509,376
509,383
509,391
510,406
505,309
492,309
360,182
448,234
436,236
423,237
406,233
459,230
430,209
443,208
419,212
411,216
395,243
459,436
406,224
354,243
379,237
438,295
490,355
492,369
471,359
459,364
478,370
467,370
443,386
493,302
491,288
389,207
464,257
461,300
460,292
399,296
491,270
421,192
402,198
373,156
477,197
455,209
431,372
368,380
471,307
482,312
444,372
450,371
394,190
460,306
446,191
443,180
424,120
384,172
435,147
380,202
370,192
491,364
476,366
463,368
474,310
447,371
454,374
451,370
479,302
469,369
481,369
494,370
491,408
491,391
492,382
493,376
493,371
468,371
466,373
464,376
461,381
448,348
354,309
505,313
460,372
457,372
487,319
465,315
485,315
451,266
430,277
458,299
393,135
405,156
416,181
456,395
471,180
464,143
457,111
412,236
380,254
465,226
395,221
473,247
470,294
366,266
390,262
408,266
432,262
450,254
463,247
489,227
368,295
383,221
498,309
465,271
350,244
473,238
457,300
402,227
469,285
358,344
464,221
480,276
398,408
400,427
355,303
380,390
362,215
456,452
500,312
453,282
367,241
424,228
436,228
451,377
370,325
483,470
440,455
421,444
498,142
512,471
446,226
456,224
462,222
373,219
453,214
442,212
432,212
421,215
414,219
353,210
417,227
506,331
460,338
471,305
487,333
500,210
417,426
436,439
482,459
383,407
461,218
481,250
511,459
460,465
359,336
480,371
478,374
477,380
475,387
471,402
456,371
453,370
449,368
436,359
388,330
481,236
475,213
466,215
459,369
386,367
485,213
465,419
502,252
490,242
501,238
473,273
511,442
510,423
487,424
431,394
447,313
447,409
417,314
435,329
405,339
483,444
465,282
421,407
440,422
419,376
373,350
403,380
366,365
423,349
473,260
474,300
465,304
480,290
465,206
445,203
427,203
412,206
401,212
392,232
353,273
403,248
416,250
433,248
450,244
462,238
470,233
352,276
465,308
482,263
484,300
492,307
484,302
469,312
494,308
495,311
469,222
476,225
480,227
410,222
403,221
513,254
588,217
518,308
636,169
553,229
566,230
578,229
594,223
542,226
569,203
556,203
580,205
589,208
607,232
561,430
593,215
646,228
622,225
569,288
525,353
524,367
543,355
555,358
537,366
548,365
572,378
516,301
517,287
610,197
540,253
547,295
547,288
608,285
515,269
577,185
596,189
622,145
523,195
544,205
582,363
644,365
538,304
527,309
570,364
565,363
603,180
549,302
552,187
555,175
568,113
612,161
561,141
618,191
627,180
525,362
539,362
551,362
535,307
567,364
560,367
563,363
530,299
546,364
535,366
522,368
528,405
527,389
525,380
524,374
523,370
548,366
549,368
552,371
554,376
565,341
652,293
555,365
557,366
523,317
544,311
525,313
554,261
576,270
550,294
600,126
591,148
582,174
561,388
527,177
531,140
535,108
588,227
622,242
535,223
605,211
530,244
538,291
637,252
613,251
596,256
572,254
553,249
539,243
513,226
637,281
617,210
512,308
541,267
650,229
529,236
551,295
597,217
538,282
651,328
536,218
527,274
617,395
617,414
651,288
633,376
637,201
565,446
510,312
553,277
633,228
576,220
565,221
564,370
638,310
540,467
581,447
598,434
554,221
545,219
539,218
626,207
546,209
557,207
567,206
578,208
585,211
645,196
583,219
551,333
538,301
525,330
600,415
583,431
541,456
632,393
539,214
523,248
562,459
649,320
536,368
538,371
540,376
542,383
546,398
558,364
562,363
565,361
576,351
621,317
521,235
525,211
533,212
555,363
626,353
515,211
554,413
513,241
533,270
533,422
584,385
562,307
570,402
592,304
576,322
605,328
538,440
542,278
595,397
578,415
594,366
637,336
610,369
645,350
588,340
531,258
534,297
544,300
528,288
534,203
554,198
572,197
587,198
598,203
608,221
650,257
599,238
586,241
569,241
553,238
540,234
531,230
651,261
544,304
524,261
525,298
518,305
525,300
540,309
516,307
515,310
531,219
524,223
521,226
590,214
596,211

