x_value,y_value
228,196
229,171
230,179
227,145
230,163
231,153
236,129
188,121
238,112
239,102
244,63
228,199
228,202
228,203
228,204
227,207
227,211
227,215
226,222
229,175
224,173
168,90
207,130
200,130
193,129
185,124
213,129
200,112
207,113
193,112
188,114
180,128
200,231
186,119
162,122
173,122
199,161
220,194
221,201
212,195
207,198
216,201
211,201
198,208
223,170
223,162
178,104
214,143
210,166
210,162
179,158
225,153
194,99
184,100
175,77
224,109
213,116
194,201
164,193
214,171
220,174
202,202
205,201
181,95
210,169
207,102
206,95
203,63
178,85
205,78
174,101
171,96
221,198
214,199
209,200
216,172
204,202
206,203
206,201
217,169
213,201
217,201
223,202
218,221
219,214
220,209
221,206
222,204
212,202
211,203
209,204
207,207
202,188
161,156
229,176
209,202
208,202
222,177
212,174
221,176
207,147
195,151
209,165
186,68
189,79
192,93
203,212
222,99
222,79
222,61
188,127
172,133
217,127
181,114
219,139
213,164
165,137
176,139
184,142
197,143
207,140
215,138
229,130
164,153
175,112
226,174
214,151
162,122
221,134
209,166
184,119
214,159
162,174
217,124
219,155
174,212
175,220
159,154
168,201
167,108
198,239
227,176
208,155
167,123
194,124
200,126
204,204
165,168
209,250
191,238
183,231
242,82
224,254
206,126
212,125
216,125
171,110
212,119
206,116
200,115
194,115
190,117
164,104
190,122
229,184
208,185
214,170
220,184
237,120
182,222
189,231
209,245
169,208
216,122
223,141
224,248
199,245
160,171
216,203
215,204
214,207
212,211
210,217
208,201
206,201
204,200
197,194
172,173
224,134
223,120
219,121
209,201
171,191
229,120
204,224
233,145
228,138
234,137
217,153
224,240
225,231
214,229
191,210
203,171
197,218
187,168
196,178
180,180
211,238
213,156
184,214
192,223
186,200
166,181
178,200
162,186
190,187
219,146
215,167
211,169
218,163
218,114
207,110
197,108
189,107
184,109
179,121
160,138
183,132
189,135
199,136
208,135
215,133
219,131
162,139
212,171
222,148
219,168
223,172
219,169
214,173
224,173
225,175
220,125
223,127
225,129
188,118
185,116
239,146
291,133
236,175
325,107
268,137
276,138
283,139
293,136
262,134
280,121
272,120
287,123
292,125
299,141
252,238
294,131
324,140
308,137
268,168
237,196
235,203
245,199
251,202
241,204
247,205
259,214
235,171
236,164
306,118
256,148
253,171
254,167
291,170
238,154
288,109
298,113
319,92
254,112
265,122
266,208
308,210
247,174
241,176
257,207
254,206
304,108
253,174
273,109
275,102
288,71
311,100
281,86
311,115
318,111
236,200
243,202
249,204
245,176
256,207
252,208
254,206
243,172
246,204
240,204
234,203
235,223
235,215
235,211
235,207
235,205
246,206
247,207
248,209
249,211
258,195
321,174
250,206
251,206
238,179
250,178
239,178
264,153
275,160
255,170
307,80
299,91
291,103
253,218
257,103
262,84
268,66
289,138
306,148
259,132
301,128
252,142
248,168
314,154
300,152
289,154
275,151
265,147
258,142
243,131
310,170
308,127
232,175
254,155
328,140
253,138
256,171
296,132
249,163
316,192
259,129
244,158
287,226
287,234
319,172
298,217
321,125
253,246
232,176
260,161
315,139
283,134
276,134
254,209
307,185
239,254
263,248
274,243
270,133
265,131
261,130
314,126
266,125
273,123
279,124
286,126
289,128
328,122
288,134
252,189
247,173
239,186
276,234
265,240
239,249
298,224
261,127
246,144
251,252
314,189
241,205
242,207
242,210
243,214
245,221
251,206
253,206
255,205
263,201
295,187
247,136
253,124
258,125
250,205
295,205
247,122
249,230
241,139
249,156
237,232
267,219
261,178
258,225
279,179
268,186
284,192
239,241
253,161
273,225
263,232
274,210
303,197
284,213
308,204
272,197
250,149
245,171
250,173
243,166
260,119
272,117
282,117
291,119
298,122
301,134
322,156
294,144
286,145
276,144
267,142
260,138
255,135
325,157
250,175
244,151
240,171
236,174
240,172
248,177
235,174
234,176
256,130
252,131
249,131
292,130
296,128
