x_value,y_value
566,466
558,410
563,427
546,360
556,394
556,374
558,325
470,329
558,290
556,270
554,193
566,474
567,479
568,480
568,485
568,490
568,498
569,506
572,521
559,418
550,418
429,278
509,340
495,342
483,342
467,335
520,335
488,305
503,305
476,308
468,314
457,346
524,548
466,326
426,343
443,338
499,403
549,465
554,479
534,470
524,476
542,481
534,482
511,500
547,410
544,395
446,300
524,363
521,409
520,401
461,405
545,376
473,282
456,288
436,249
530,290
516,308
500,486
451,486
531,417
543,421
514,486
520,485
449,278
522,416
497,281
493,269
480,208
442,263
487,236
439,294
434,286
551,474
538,477
529,480
535,419
517,486
523,488
522,484
536,410
537,481
546,481
556,481
554,522
553,506
553,497
553,490
555,485
534,485
532,486
529,490
527,495
512,459
436,412
561,422
528,485
526,486
547,428
528,425
545,425
511,373
490,385
520,408
452,225
459,245
467,269
522,508
524,270
518,232
513,198
472,340
444,359
527,331
455,318
532,352
527,402
432,370
452,369
468,373
493,368
511,360
524,352
547,330
435,403
444,317
553,418
525,378
428,344
534,343
520,409
463,328
527,393
441,449
527,325
535,383
471,519
477,536
428,408
455,500
429,313
523,564
556,421
515,390
434,342
483,333
494,334
520,491
439,433
550,583
512,566
495,554
555,230
578,585
506,332
517,329
523,327
436,315
515,315
503,312
491,312
479,315
473,320
426,307
475,331
564,440
523,449
530,414
546,442
559,307
488,537
505,550
546,573
463,516
523,321
539,355
575,574
529,576
434,442
543,485
541,488
539,494
538,502
536,516
526,484
521,483
517,481
503,472
454,440
540,340
535,314
528,317
529,482
456,477
544,312
529,532
557,357
546,346
558,342
531,380
573,558
572,538
550,539
499,507
510,423
513,522
479,423
498,440
470,449
546,557
525,389
489,519
507,535
487,489
445,460
472,493
442,473
489,461
532,366
531,408
525,413
534,398
523,303
501,297
482,297
467,300
458,307
454,332
425,376
464,352
476,355
494,354
510,349
523,343
532,337
433,378
526,417
538,368
539,408
548,415
540,411
531,422
549,417
552,420
531,326
538,328
540,330
469,323
462,319
569,359
665,316
574,417
728,256
625,332
639,333
653,331
672,322
612,329
640,294
625,296
654,296
664,300
686,332
627,545
670,313
738,323
703,321
636,395
582,462
582,477
601,465
614,470
596,477
607,477
636,492
570,409
570,394
688,283
606,358
606,403
607,395
683,392
569,375
649,269
671,273
707,228
586,286
613,301
646,477
739,473
597,412
585,418
630,477
625,477
680,262
608,410
620,272
622,259
638,194
693,244
628,225
699,276
713,266
582,471
598,472
610,474
594,416
627,477
621,480
624,476
587,407
606,476
594,477
582,479
590,520
586,504
585,495
583,488
582,483
607,480
609,481
612,485
615,490
626,452
752,394
615,479
617,479
580,426
604,420
583,422
622,366
646,375
611,402
678,207
665,229
653,255
624,503
589,265
593,226
598,190
665,328
704,342
604,326
683,303
594,348
595,398
722,353
692,353
672,360
643,359
622,353
607,346
572,329
722,386
697,300
566,417
604,372
749,323
595,339
613,403
675,314
597,388
749,433
604,320
583,380
697,509
701,528
744,390
718,488
727,292
633,560
566,421
618,383
719,323
651,322
638,324
624,483
722,418
608,582
655,562
676,548
626,324
615,322
608,321
710,297
616,309
628,304
640,302
652,304
660,308
741,286
659,319
612,443
596,410
583,440
675,530
655,545
606,571
722,505
607,315
582,352
632,573
741,426
596,481
598,485
600,490
602,498
609,512
618,477
621,475
625,473
639,463
699,426
583,337
591,310
601,312
615,475
705,464
577,309
619,528
571,344
593,376
596,537
652,499
626,416
637,516
661,413
641,431
677,438
602,556
604,384
667,511
647,529
663,479
720,445
684,482
734,458
655,451
593,362
591,404
602,408
583,395
601,297
623,288
643,285
660,287
674,292
688,317
743,356
677,339
662,344
642,345
623,342
609,338
599,333
751,358
603,413
581,366
580,406
574,414
581,408
599,418
571,416
571,419
599,321
590,325
585,327
666,310
673,305
