x_value,y_value
174,184
173,161
174,169
167,140
172,154
172,146
172,125
129,125
172,112
172,104
172,70
175,188
175,190
175,191
175,193
175,196
176,199
176,203
176,209
173,165
168,165
106,104
147,131
141,132
135,132
127,128
153,129
139,116
145,116
133,117
129,119
122,133
153,222
127,124
103,132
115,130
144,159
167,184
169,190
160,186
156,190
164,191
160,192
148,201
168,161
167,155
118,114
155,141
155,161
155,158
125,159
167,147
133,107
124,109
111,91
160,112
151,118
144,195
112,196
160,164
165,166
151,195
154,194
121,105
155,164
145,108
144,102
136,75
116,98
140,87
114,111
110,108
168,188
162,189
158,191
161,166
152,195
155,195
154,194
162,162
161,192
165,191
170,191
168,210
168,203
169,199
169,195
170,193
160,194
159,194
158,196
157,199
150,182
104,163
173,166
157,194
156,194
167,169
158,168
166,168
149,146
139,151
154,161
121,82
126,91
131,102
153,204
158,103
155,86
153,71
130,131
115,139
156,127
122,121
159,137
158,158
108,144
120,143
128,145
140,143
149,140
155,136
167,127
110,158
116,121
170,165
156,148
102,133
160,133
154,161
125,125
158,154
107,179
156,125
162,150
125,209
126,217
104,161
117,201
106,119
151,229
171,166
151,153
109,132
135,127
141,128
153,197
112,172
164,237
144,230
136,225
172,86
177,238
146,127
151,126
154,125
111,120
150,120
145,118
140,118
134,119
131,121
103,117
132,126
174,174
155,178
159,163
166,175
173,119
134,217
142,223
163,232
118,208
154,123
163,138
177,233
153,234
107,176
164,193
164,195
163,197
162,201
160,208
156,194
154,193
152,193
146,188
121,174
163,132
161,120
157,122
157,193
120,191
165,120
156,215
172,139
167,134
172,132
160,148
176,226
176,217
166,217
142,204
149,167
148,210
134,167
143,174
129,179
164,226
156,153
136,209
144,216
137,196
114,183
128,198
110,189
138,184
160,143
160,161
157,163
162,156
156,116
146,114
137,113
130,114
124,117
121,127
103,146
125,136
132,137
140,137
148,135
154,133
158,130
103,148
157,165
163,144
164,161
168,164
164,162
159,167
168,164
169,166
158,125
161,127
163,127
129,123
126,122
178,140
218,123
179,164
245,100
200,130
207,130
213,129
221,126
195,128
208,115
201,115
214,116
218,118
227,131
200,221
220,122
248,129
235,127
205,157
182,183
181,190
189,185
195,188
187,190
191,191
204,199
178,161
178,154
229,112
192,140
192,160
192,156
225,156
178,146
212,106
222,107
237,88
185,111
195,117
208,193
244,193
188,163
183,166
201,193
198,192
226,103
192,163
200,107
201,101
209,73
231,95
205,86
234,109
239,105
181,187
188,188
193,190
186,165
199,193
197,194
198,192
184,161
190,191
186,191
180,191
184,209
183,202
183,198
182,195
181,193
192,192
192,193
194,195
195,197
200,181
251,160
195,192
196,193
181,169
190,167
182,167
199,144
209,149
194,159
226,79
220,88
215,100
199,203
187,103
189,85
192,70
218,128
234,136
191,126
226,119
187,136
188,157
242,140
229,140
221,142
208,141
199,139
192,135
179,127
241,155
232,118
176,164
191,147
251,129
187,132
194,160
222,123
188,153
249,176
191,124
183,149
229,207
230,215
249,157
237,198
244,115
203,228
176,166
197,152
241,128
212,125
206,126
199,195
240,168
191,237
211,229
220,224
201,126
196,125
193,124
238,117
196,119
202,117
207,117
213,118
216,119
249,113
216,124
194,177
188,162
182,174
220,216
212,222
191,232
238,206
193,122
183,137
202,234
247,172
187,192
188,194
189,196
190,200
192,207
195,192
197,191
199,190
205,186
230,171
183,131
186,120
190,121
194,191
233,188
180,120
197,214
178,134
187,148
187,217
211,202
200,166
204,209
215,165
207,172
222,176
189,225
191,152
217,207
209,215
215,194
239,180
224,195
244,186
212,182
187,142
186,160
190,162
184,155
190,115
200,112
209,112
217,112
223,115
228,125
249,143
223,133
216,135
208,135
199,134
193,132
189,129
251,144
190,164
183,143
182,160
179,163
182,161
188,166
178,164
177,166
189,124
185,126
183,127
219,121
222,120

